ID,Price,Date,Postcode,Type,New,Duration,PAON,Number,Street,NA,City,City2,County,URL
4DDCD83E-05D0-4688-9E46-46B4ADB91100,250000,19/02/2014,CB1 1BB,F,N,L,18,PETERSFIELD MANSIONS,PETERSFIELD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/4DDCD83E-05D0-4688-9E46-46B4ADB91100/2014-03-19492
84E91E3F-3AA1-42B6-8B01-E7E0532DE415,660000,27/08/2014,CB1 1BB,F,N,L,25,PETERSFIELD MANSIONS,PETERSFIELD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/84E91E3F-3AA1-42B6-8B01-E7E0532DE415/2014-10-84528
8E078C8C-D3AD-48EC-862A-1945791B4E13,260000,17/01/2014,CB1 1BB,F,N,L,32,PETERSFIELD MANSIONS,PETERSFIELD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/8E078C8C-D3AD-48EC-862A-1945791B4E13/2014-02-09097
CEF302E5-7996-47CD-841A-72E22EC1D7BE,310000,20/02/2014,CB1 1BB,F,N,L,55,PETERSFIELD MANSIONS,PETERSFIELD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/CEF302E5-7996-47CD-841A-72E22EC1D7BE/2014-04-32237
D77AB759-F02C-45CD-8B5B-A35D78F7D52D,345000,01/09/2014,CB1 1BB,F,N,L,56,PETERSFIELD MANSIONS,PETERSFIELD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/D77AB759-F02C-45CD-8B5B-A35D78F7D52D/2014-10-59352
D751EA12-4F7E-476E-AD85-AB127649794C,253000,27/02/2014,CB1 1BB,F,N,L,61,PETERSFIELD MANSIONS,PETERSFIELD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/D751EA12-4F7E-476E-AD85-AB127649794C/2014-04-48263
79A592EB-695C-4F64-9475-85BA7AEC435B,370000,02/09/2014,CB1 1DG,F,N,L,FLAT 1,EDEN HALL,BURLEIGH STREET,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/79A592EB-695C-4F64-9475-85BA7AEC435B/2014-12-41800
95639200-580C-4934-BF83-80FA461539E4,710000,11/07/2014,CB1 1DP,T,N,F,,31,CITY ROAD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/95639200-580C-4934-BF83-80FA461539E4/2014-08-44538
3894CDA0-DF8D-4A1E-985A-1DA7F5ABD574,645000,14/08/2014,CB1 1DP,T,N,F,,32,CITY ROAD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/3894CDA0-DF8D-4A1E-985A-1DA7F5ABD574/2014-09-09612
14F7A385-E432-4EE8-B705-D4A597A618C6,675000,04/04/2014,CB1 1DP,T,N,F,,38,CITY ROAD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/14F7A385-E432-4EE8-B705-D4A597A618C6/2014-06-60141
D5047FAD-8E65-4E3E-AFEA-A693BF65EEF1,157500,10/02/2014,CB1 1DP,F,N,L,,7,CITY ROAD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/D5047FAD-8E65-4E3E-AFEA-A693BF65EEF1/2014-03-46034
1FAE2414-5DE6-4F21-BA34-0DE37B9A7EFE,505000,14/08/2014,CB1 1DR,T,N,F,,23,PARADISE STREET,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/1FAE2414-5DE6-4F21-BA34-0DE37B9A7EFE/2015-01-04421
308D2B2C-20A8-46AF-BBC8-D079E3A2C4DB,500000,31/01/2014,CB1 1DS,T,N,F,,17,GRAFTON STREET,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/308D2B2C-20A8-46AF-BBC8-D079E3A2C4DB/2014-03-57539
D422B220-149E-4B05-9F8C-5E82C18B17FE,605000,16/07/2014,CB1 1DS,T,N,F,,21,GRAFTON STREET,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,http://landregistry.data.gov.uk/data/ppi/transaction/D422B220-149E-4B05-9F8C-5E82C18B17FE/2014-08-32576
